Sol,End,Look ahead,Activity,Solar longitude (deg),UTC
1074,1087,,"Update LME Curves, Indentation (SAR #150), New WUTT Installation, IDC Science and Tau Images",136.72,2021-12-04 05:39
1088,1107,,"Update LME Curves, New WUTT Installation, IDC Science and Tau Images",143.86,2021-12-18 14:51
1108,1114,,Lander in SAFE MODE,154.35,2022-01-08 03:59
1115,1128,,"Background Sequence started executing on Sol1118 (18 Jan), Unsafe the lander",158.10,2022-01-15 08:35
1129,1135,,"Eng UnSafe Sci All, Eng File Dir Dump, Payload block library updates, BST Dump, Unsafe SEIS, VBBs ON, IDA UnSafe w/ Pot Sync, Update LME Curves, New WUTT Installation, IDC Science and Tau Images",165.76,2022-01-29 17:48
1136,1142,,"Update LME Curve, IDA Solar Panel and deck imaging, IDA Return to observation pose, Recover APSS and turn on PS/TWINS for ~2.5 Hrs, Recover HP3 and briefly Power On/Off, Excite Solar Arrays (SAR#465), HP3 RAD single, IDC Science and Tau Images",169.66,2022-02-05 22:24
1143,1155,,"Update LME Curves, New WUTT Installation, HP3 RAD single, Solar Array Cleaning Experiment #6, VBBs on continuously, IDC Science and Tau Images",173.61,2022-02-13 03:00
1156,1169,,"Update LME Curves, New WUTT Installation, Elastic Properties (Initial 2x2x1, Final 2x2x1), Aerosol Sky Survey, HP3 RAD single,Phobos Eclipse (SAR#460), HP3 TEMP and TEMA, VBBs on continuously, IDC Science and Tau Images",181.07,2022-02-26 11:34
1170,1182,,"Update LME Curves, New WUTT Installation, Elastic Properties with Horizontal Forces (SAR #425), VBBs on continuously, IDC Science and Tau Images",189.30,2022-03-12 20:48
1183,1196,,"Acquire Structure for Motion (SAR#114), IDA Double Scrape, Update LME Curves, New WUTT Installation, BST Dump, Eng File Dir Dump, VBBs on continuously, IDC Science and Tau Images",197.11,2022-03-26 05:23
1197,1210,,"Sunrise imaging, Sunset imaging, IDS - No Load actuator characterization, Update LME Curves, New WUTT Installation, VBBs on continuously, RAD Singles, IDC Science and Tau Images",205.70,2022-04-09 14:39
1211,1223,,"Imaging Under Spacecraft, Lander Horizontal Mosaic, Turn on PAE 28V PS and IFG, Update LME Curves, New WUTT Installation, VBBs on continuously, RAD Singles, IDC Science and Tau",214.45,2022-04-23 23:56
1224,1230,,"Update LME Curves, New WUTT Installation, Eng. Block Lib Update, Cal Target",222.71,2022-05-07 08:35
1231,1237,,"MSL-NSY FTS Mode Demo, Unsafe Payloads sequence, IDA Unsafe and Pot Sync, SEIS Recovery, HP3 Recovery",227.19,2022-05-14 13:15
1238,1251,,"Disable LME Fault Protection, New WUTT Installation, Eng. Block Lib Update, Cal Target, Solar Array Cleaning Experiment #7, HP3 Area Imaging, VBBs on continuously, IDC Science and Tau Images",231.70,2022-05-21 17:55
